company_id,company_name,tmdbId
3,Pixar Animation Studios,862
559,TriStar Pictures,8844
2550,Teitler Film,8844
10201,Interscope Communications,8844
6194,Warner Bros.,15602
19464,Lancaster Gate,15602
306,Twentieth Century Fox Film Corporation,31357
5842,Sandollar Productions,11862
9195,Touchstone Pictures,11862
508,Regency Enterprises,949
675,Forward Pass,949
6194,Warner Bros.,949
4,Paramount Pictures,11860
258,Scott Rudin Productions,11860
932,Mirage Enterprises,11860
5842,Sandollar Productions,11860
14941,Constellation Entertainment,11860
55873,Worldwide,11860
58079,Mont Blanc Entertainment GmbH,11860
2,Walt Disney Pictures,45325
33,Universal Pictures,9091
21437,Imperial Entertainment,9091
23770,Signature Entertainment,9091
60,United Artists,710
7576,Eon Productions,710
5,Columbia Pictures,9087
97,Castle Rock Entertainment,9087
5,Columbia Pictures,12110
97,Castle Rock Entertainment,12110
6368,Enigma Pictures,12110
33,Universal Pictures,21032
56,Amblin Entertainment,21032
4105,Amblimation,21032
915,Hollywood Pictures,10858
1504,Cinergi Pictures Entertainment,10858
183,Le Studio Canal+,1408
415,Laurence Mark Productions,1408
8411,Metro-Goldwyn-Mayer (MGM),1408
14723,Carolco Pictures,1408
33,Universal Pictures,524
10898,Légende Entreprises,524
11583,Syalis DA,524
11584,De Fina-Cappa,524
441,Columbia Pictures Corporation,4584
932,Mirage Enterprises,4584
14,Miramax Films,5
59,A Band Apart,5
5682,O Entertainment,9273
6194,Warner Bros.,9273
10210,Morgan Creek Productions,9273
5,Columbia Pictures,11517
216,Jersey Films,8012
8411,Metro-Goldwyn-Mayer (MGM),8012
508,Regency Enterprises,1710
10104,New Regency Pictures,1710
1885,Silver Pictures,9691
5358,Canal+,9691
6194,Warner Bros.,9691
10308,Dino De Laurentiis Company,9691
23397,Donner/Shuler-Donner Productions,9691
25061,Evansgideon/Lazar,9691
175,Caravan Pictures,12665
915,Hollywood Pictures,12665
60,United Artists,451
15547,Intial Productions,451
5,Columbia Pictures,16420
97,Castle Rock Entertainment,16420
12,New Line Cinema,9263
288,BBC Films,17015
311,Procirep,902
590,Constellation Productions,902
591,France 3 Cinéma,902
592,Claudie Ossard Productions,902
850,Eurimages,902
851,MEDIA Programme of the European Union,902
1871,Cofimage 5,902
6639,Televisión Española (TVE),902
7237,Tele München Fernseh Produktionsgesellschaft (TMG),902
8170,Club d'Investissement Média,902
9335,Canal+ España,902
12009,Elías Querejeta Producciones Cinematográficas S.L.,902
18367,Centre National de la Cinématographie (CNC),902
25020,Victoires Productions,902
25021,Constellation,902
25129,Lumière Pictures,902
47532,Canal+,902
68517,Studio Image,902
79437,Cofimage 4,902
79438,Ossane,902
79439,Phoenix Images,902
2588,Ministère des Affaires Étrangères,37557
4507,Alpha Films,37557
23647,La Sept Cinéma,37557
915,Hollywood Pictures,9909
10103,Via Rosa Productions,9909
10288,Don Simpson/Jerry Bruckheimer Films,9909
33,Universal Pictures,63
507,Atlas Entertainment,63
17031,Classico,63
70801,Iwerks Entertainment,78802
33,Universal Pictures,9598
2537,Kennedy Miller Productions,9598
694,StudioCanal,47018
874,Cinéa,47018
8363,Euston Films,47018
19316,Freeway Films,47018
30226,European Co-production Fund,47018
31080,Polygram Filmed Entertainment,47018
44821,Orsans Productions,47018
406,Havoc,687
1382,PolyGram Filmed Entertainment,687
10163,Working Title Films,687
53390,Sony New Technologies,139405
6130,Dualstar Productions,33689
6194,Warner Bros.,33689
11661,Rysher Entertainment,33689
89131,Orr & Cruickshank,33689
4,Paramount Pictures,9603
53009,Miramax,34615
85681,Distant Horizon,34615
89840,Alpine Pty Limited,34615
871,British Screen,31174
34237,Mayfair Entertainment International,31174
175,Caravan Pictures,11443
476,Underworld Entertainment,11443
915,Hollywood Pictures,11443
14,Miramax Films,35196
12,New Line Cinema,9312
4174,Threshold Entertainment,9312
364,The Rank Organisation,577
441,Columbia Pictures Corporation,577
33,Universal Pictures,11861
56,Amblin Entertainment,11861
12,New Line Cinema,807
4286,Juno Pix,807
65394,Cecchi Gori Pictures,807
2,Walt Disney Pictures,10530
10217,Walt Disney Feature Animation,10530
2480,Alliance Communications Corporation,8391
361,Blue Parrot Productions,629
9168,Bad Hat Harry Productions,629
14,Miramax Films,11448
1030,Magnolia Pictures,11448
2,Walt Disney Pictures,26441
175,Caravan Pictures,26441
14,Miramax Films,97406
7832,CiBy 2000,97406
7320,Telefilm Canada,124057
10260,Melenny Productions,124057
4,Paramount Pictures,9089
802,Egg Pictures,9089
1382,PolyGram Filmed Entertainment,9089
4,Paramount Pictures,11359
441,Columbia Pictures Corporation,11359
862,The Kennedy/Marshall Company,11359
4,Paramount Pictures,17182
915,Hollywood Pictures,2054
916,The Charlie Mopic Company,2054
1382,PolyGram Filmed Entertainment,2054
10201,Interscope Communications,2054
14,Miramax Films,10607
3492,Island Pictures,10607
5441,Ivory Way Productions,10607
6194,Warner Bros.,19760
10210,Morgan Creek Productions,19760
8411,Metro-Goldwyn-Mayer (MGM),9536
11061,Motion Picture Corporation of America (MPCA),9536
36390,3 Arts Entertainment,9536
38003,Weasel Productions,9536
12,New Line Cinema,11525
14,Miramax Films,40628
82,Renn Productions,4482
1614,Les Films Flam,4482
3823,TF1 Films Production,4482
5358,Canal+,4482
12,New Line Cinema,10634
59,A Band Apart,755
7405,Dimension Films,755
11705,Los Hooligans Productions,755
53009,Miramax,755
1885,Silver Pictures,11859
6194,Warner Bros.,11859
5841,Castleberg Productions,28387
5842,Sandollar Productions,28387
1742,Les Films 13,48750
5358,Canal+,48750
22123,TF1,48750
12,New Line Cinema,20927
4286,Juno Pix,20927
6194,Warner Bros.,36929
10210,Morgan Creek Productions,36929
3388,The Movie Network (TMN),9102
4899,Allegro Films,9102
7958,Fuji Eight Company Ltd.,9102
23096,Fries Film Group,9102
23097,Super Ecran,9102
23098,Triumph Films,9102
4606,Zweites Deutsches Fernsehen (ZDF),124626
83201,Ciak Filmproduktion,124626
93174,Bluehorse Films,124626
14,Miramax Films,27526
441,Columbia Pictures Corporation,9623
38953,I.R.I.B. Channel 2,46785
38954,Ferdos Films,46785
14,Miramax Films,400
575,Bergen Film,880
576,Bard Entertainments,880
577,NPS Televisie,880
38196,BET Pictures,146599
38197,United Image Entertainme,146599
2492,Playhouse International Pictures,8447
8888,The Samuel Goldwyn Company,8447
915,Hollywood Pictures,10534
1644,Largo Entertainment,10534
1645,Scott Free Productions,10534
306,Twentieth Century Fox Film Corporation,17414
3311,Joe Wizan/Todd Black,17414
4,Paramount Pictures,13997
4,Paramount Pictures,2086
14,Miramax Films,61548
4665,Addis Wechsler Pictures,61548
559,TriStar Pictures,9095
18737,NFH Productions,9095
4,Paramount Pictures,12158
14,Miramax Films,9283
979,Woods Entertainment,9283
306,Twentieth Century Fox Film Corporation,9208
456,WCG Entertainment Productions,9208
11362,Mark Gordon Productions,9208
97,Castle Rock Entertainment,40154
75942,Midwinter Films,40154
802,Egg Pictures,406
1382,PolyGram Filmed Entertainment,406
5358,Canal+,406
5869,Les Productions Lazennec,406
16366,La Sept Cinéma,406
22684,Kasso Inc. Productions,406
68517,Studio Image,406
68518,Cofinergie 6,406
181,Channel Four Films,45549
3324,British Broadcasting Corporation (BBC),63076
7025,Westdeutscher Rundfunk (WDR),63076
12113,Canadian Broadcasting Corporation (CBC),63076
12911,Cinemax Reel Life,63076
12912,InPictures,63076
12913,Lafayette Films,63076
5,Columbia Pictures,11062
97,Castle Rock Entertainment,11062
18,Gracie Films,13685
441,Columbia Pictures Corporation,13685
9195,Touchstone Pictures,47475
8411,Metro-Goldwyn-Mayer (MGM),2045
10308,Dino De Laurentiis Company,2045
10355,Spelling Films,2045
33,Universal Pictures,9614
1606,Brillstein-Grey Entertainment,9614
3929,Robert Simonds Productions,9614
56,Amblin Entertainment,688
171,Malpaso Productions,688
6194,Warner Bros.,688
2,Walt Disney Pictures,10874
2504,Jim Henson Productions,10874
6254,"Jim Henson Company, The",10874
4564,Icon Entertainment International,197
7965,The Ladd Company,197
11353,B.H. Finance C.V.,197
441,Columbia Pictures Corporation,103
46059,Italo/Judeo Productions,103
46060,Bill/Phillips,103
12,New Line Cinema,33542
2521,Golden Harvest Company,33542
175,Caravan Pictures,43566
915,Hollywood Pictures,43566
806,Téléfilm Canada,71754
2055,Skyline Films,71754
3498,Malofilm,71754
9116,Société de Développement des Entreprises Culturelles (SODEC),71754
12745,British Screen Productions,71754
17027,National Film Board of Canada (NFB),71754
22150,imX Communications,71754
38673,Glace Bay Pictures,71754
38674,Ciné Télé Action,71754
40534,Nova Scotia Film Development Corporation,71754
85045,Ranfilm,71754
83,France 2 Cinéma,43612
591,France 3 Cinéma,43612
694,StudioCanal,43612
883,Les Productions du Champ Poirier,43612
885,Téléma Productions,43612
3236,Bavaria Film and Television Fund,16934
559,TriStar Pictures,10324
11061,Motion Picture Corporation of America (MPCA),10324
11308,Savoy Pictures,78406
559,TriStar Pictures,55731
4,Paramount Pictures,11066
540,Jet Tone Production,11104
10932,The Criterion Collection,11104
371,Cecchi Gori Group Tiger Cinematografica,37975
14,Miramax Films,2074
264,Studio Babelsberg,27793
1766,Dieter Geissler Filmproduktion,27793
1979,Cinevox Filmproduktion GmbH,27793
6194,Warner Bros.,27793
53009,Miramax,27793
22029,Canal Horizons,44284
22618,Mat Films,44284
71842,Cinétéléfilms,44284
8,Fine Line Features,73067
181,Channel Four Films,73067
1898,Bórd Scannán na hÉireann,73067
5358,Canal+,73067
4,Paramount Pictures,11863
93488,Cigua Films,55475
93489,D'Pelicula,55475
306,Twentieth Century Fox Film Corporation,9101
68229,Couch Potatoe Productions,123360
181,Channel Four Films,39428
38778,Academy,39428
94477,Mayfair Films,39428
94478,Iberoamerica Films,39428
1504,Cinergi Pictures Entertainment,9302
9195,Touchstone Pictures,9302
60,United Artists,11000
43,Fox Searchlight Pictures,16388
5,Columbia Pictures,9737
