language_code,language_name,tmdbId
en,English,862
en,English,8844
fr,Français,8844
en,English,15602
en,English,31357
en,English,11862
en,English,949
es,Español,949
fr,Français,11860
en,English,11860
en,English,45325
de,Deutsch,45325
en,English,9091
en,English,710
ru,Pусский,710
es,Español,710
en,English,9087
en,English,12110
de,Deutsch,12110
en,English,21032
en,English,10858
en,English,1408
la,Latin,1408
en,English,524
en,English,4584
en,English,5
en,English,9273
en,English,11517
en,English,8012
en,English,1710
de,Deutsch,1710
en,English,9691
es,Español,9691
nl,Nederlands,9691
en,English,12665
en,English,451
en,English,16420
en,English,9263
en,English,17015
cn,广州话 / 廣州話,902
fr,Français,902
zh,普通话,37557
en,English,9909
en,English,63
fr,Français,63
en,English,78802
en,English,9598
en,English,47018
en,English,687
ru,Pусский,139405
en,English,139405
en,English,33689
es,Español,9603
en,English,9603
en,English,34615
en,English,31174
en,English,11443
en,English,35196
es,Español,35196
en,English,9312
en,English,577
en,English,11861
en,English,807
en,English,10530
en,English,8391
es,Español,629
en,English,629
fr,Français,629
hu,Magyar,629
en,English,11448
sq,shqip,49133
it,Italiano,49133
en,English,26441
de,Deutsch,26441
en,English,97406
en,English,124057
en,English,9089
es,Español,9089
it,Italiano,11010
es,Español,11010
en,English,99040
fr,Français,99040
en,English,11359
en,English,17182
fr,Français,17182
ko,한국어/조선말,17182
es,Español,17182
en,English,2054
en,English,10607
es,Español,10607
en,English,19760
en,English,9536
ru,Pусский,9536
en,English,11525
hu,Magyar,11525
en,English,40628
fr,Français,4482
es,Español,4482
en,English,10634
en,English,755
es,Español,755
en,English,11859
es,Español,11859
en,English,28387
fr,Français,48750
en,English,20927
en,English,36929
en,English,9102
de,Deutsch,124626
en,English,124626
en,English,27526
en,English,9623
fa,فارسی,46785
en,English,400
nl,Nederlands,880
en,English,146599
en,English,8447
da,Dansk,10534
en,English,10534
fr,Français,10534
de,Deutsch,10534
en,English,17414
fr,Français,17414
ru,Pусский,17414
en,English,13997
en,English,2086
en,English,61548
en,English,9095
en,English,12158
en,English,9283
en,English,9208
en,English,40154
fr,Français,406
en,English,45549
en,English,63076
en,English,11062
es,Español,13685
en,English,13685
en,English,47475
en,English,2045
en,English,9614
en,English,688
de,Deutsch,11907
en,English,10874
en,English,89333
en,English,197
fr,Français,197
la,Latin,197
gd,,197
en,English,103
es,Español,103
cn,广州话 / 廣州話,33542
en,English,33542
en,English,43566
fr,Français,43566
de,Deutsch,43566
en,English,71754
fr,Français,43612
en,English,51352
en,English,16934
en,English,10324
en,English,78406
en,English,55731
en,English,32119
fr,Français,11066
en,English,11066
cn,广州话 / 廣州話,11104
en,English,11104
ja,日本語,11104
zh,普通话,11104
it,Italiano,37975
en,English,2074
en,English,27793
ar,العربية,44284
fr,Français,44284
en,English,110972
en,English,32622
en,English,73067
en,English,11863
es,Español,55475
en,English,124636
en,English,9101
en,English,123360
en,English,5757
en,English,39428
fr,Français,9302
en,English,11000
fr,Français,11000
en,English,249882
hr,Hrvatski,249882
bs,Bosanski,249882
en,English,16388
en,English,9737
de,Deutsch,30765
en,English,10474
en,English,22279
en,English,30157
en,English,568
en,English,11780
en,English,34996
en,English,414
fr,Français,649
mn,,649
es,Español,649
en,English,1873
en,English,5894
en,English,1775
en,English,8839
en,English,20649
en,English,10329
fr,Français,10329
en,English,8963
en,English,26564
en,English,8068
en,English,8512
en,English,1572
de,Deutsch,1572
ro,Română,1572
en,English,13552
en,English,259209
en,English,6520
fr,Français,6520
en,English,9073
id,Bahasa indonesia,9073
ms,Bahasa melayu,9073
en,English,10428
it,Italiano,10428
ja,日本語,10428
ru,Pусский,10428
en,English,17447
fr,Français,17447
en,English,9886
ja,日本語,9886
en,English,9482
en,English,19326
en,English,9344
en,English,9071
en,English,8973
en,English,15730
en,English,47608
en,English,2293
en,English,9070
en,English,68274
ru,Pусский,48787
en,English,48787
de,Deutsch,34574
en,English,34574
en,English,1642
es,Español,1642
en,English,11472
ru,Pусский,11472
en,English,36196
en,English,11980
en,English,58372
en,English,32646
en,English,10533
en,English,10802
en,English,10149
en,English,18402
en,English,9348
hu,Magyar,139408
en,English,139408
en,English,281
fr,Français,5967
en,English,79593
en,English,47939
en,English,36834
en,English,9090
es,Español,9090
en,English,3512
en,English,52856
en,English,77350
en,English,9560
en,English,9804
de,Deutsch,9804
es,Español,9804
en,English,31611
cn,广州话 / 廣州話,65796
en,English,65796
en,English,49805
en,English,26258
de,Deutsch,26258
ru,Pусский,50797
sq,shqip,19155
en,English,19155
mk,,19155
en,English,76
de,Deutsch,76
fr,Français,76
fr,Français,11017
es,Español,11017
en,English,11017
en,English,37141
en,English,9382
en,English,6715
en,English,18256
it,Italiano,18256
sv,svenska,18256
en,English,22625
en,English,2292
en,English,1909
en,English,8984
en,English,61813
en,English,4954
en,English,62488
en,English,10531
en,English,11929
en,English,8467
zh,普通话,10451
en,English,20156
