tmdbId,keywords
2,"underdog, prison, factory worker, prisoner, helsinki, independent film, falling in love"
3,"salesclerk, helsinki, garbage, independent film"
5,"hotel, new year's eve, witch, bet, hotel room, sperm, los angeles, hoodlum, woman director, episode film"
6,"chicago, drug dealer, boxing match, escape, one night"
11,"android, galaxy, hermit, death star, lightsaber, jedi, rescue mission, empire, rebellion, planet, smuggler, the force, space opera, galactic war, stormtrooper, totalitarianism"
12,"father son relationship, harbor, underwater, fish tank, great barrier reef, missing child, aftercreditsstinger, duringcreditsstinger, short term memory loss, clownfish, father son reunion, protective father"
13,"vietnam veteran, hippie, mentally disabled, running, based on novel, vietnam, vietnam war, friendship, love, family relationships, bully, mother son relationship, military, hugging, shrimping, wounded soldier, flashback, park bench, amputee"
14,"male nudity, female nudity, adultery, parent child relationship, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, bittersweet, affair"
15,"journalist, newspaper, florida, capitalist, banker, media tycoon, art collector, sleigh, money, child"
16,"individual, dancing, usa, robbery, factory worker, secret, factory, small town, dance, blindness and impaired vision, death penalty, immigrant, eye operation, eyesight, fantasy, naivety, self-abandonment, hereditary disease, loss of eyesight, czech, dying and death, van, friendship, murder, teacher, debt, execution, crime, police officer"
17,"suicide, paradise, child abuse, sea, adolescence, wales, secret, underworld, shepherd, loss of child, sheep, single, mother daughter relationship, sect"
18,"clone, taxi, cyborg, egypt, future, stowaway, space travel, race against time, arms dealer, love, alien, priest, end of the world, good vs evil, shootout, police chase, cab driver, new york city, space opera, military, opera singer, resort hotel, ancient astronaut, archeologist, ancient evil, cruise liner"
19,"man vs machine, underground world, inventor, metropolis, worker, future, machine town, work, class society, dystopia, tower of babel, delirium, chase scene, mad scientist, prophet, robot, destruction, silent film, depravity, masterpiece, downtrodden, saviour"
20,"farewell, responsability, dying and death, night shift, daughter, secret love, mother daughter relationship, woman director"
21,"surfer, surfboard, surfing"
22,"exotic island, blacksmith, east india trading company, gold, marriage proposal, mutiny, jamaica, skeleton, daughter, governor, wooden eye, gold coin, pirate, alcoholic, swashbuckler, caribbean, aftercreditsstinger, pirate ship, capuchin monkey, tortuga"
24,"japan, coma, martial arts, kung fu, underworld, yakuza, sword, bride, revenge, gore, female yakuza, blood, wedding, samurai sword, part animation"
25,"sniper, marine corps, saudi arabia, petrol, golf war, u.s. marine"
26,"berlin, neo-nazi, israel, nazi background, chauffeur, mossad, middle east conflict, dead sea, anti semitism, kibbutz, nazi germany, suicide mission"
27,"london england, female nudity, sex, rock and roll, blow job, condom, safe sex, concert, erection, fellatio, pubic hair, sexual fantasy, penetration, sexual intercourse, ejaculation, unsimulated sex, couple, desire, semen, vulva, male orgasm, penis, explicit sex"
28,"guerrilla, river, vietnam, vietcong, cambodia, army, insanity, tribe, green beret, jungle, apocalypse, death, napalm"
